title,review
언차티드,그럴싸 해보이는 평범한 황금
언차티드,아이들취향 저격 난 별로 이지만 성인들은 조아하는 취향도있을듯 오랜만에 안토니오보는 재미
언차티드,영화관에서 보면 돈아까울뻔
언차티드,십자가로 좌표 찍는 것만 빼고는 재밌어요    탄도 나와줬으면 좋겠어요 
언차티드, 급 존스로라도 만들었으면 좋았을 것을
언차티드,톰 홀랜드 때문에 보는 영화
언차티드,솔직히 별 재미없다    뭔가 부족하다   너무 인위적이고 암튼 추천할 만큼은 안됨  
언차티드,등장 배우들 퀄리티가 아깝다 영화 전개가 너무 아쉽고 스토리가 좀 허술하고 뭔가 부족하고 암튼 쫌 그래
언차티드,내용이 유치하고 여주가 너무 남상이라 집중이 어렵다 
언차티드,어드벤쳐 향맛 맡다가 끝남
언차티드,후속작이 더 궁금한   캐릭터들은 엄청 매력적   
언차티드,고영희가 귀여워서  점 준다  
언차티드,현대차가 많음
언차티드,우선  남주가 너무 어려보이는 얼굴이라 액션에 어울리지않고  둘째  내용이 좀 쌩뚱맞은게 많고  셋째  성룡의 용형호제같은 느낌이랄까
언차티드,굳이 스파이더맨 변신안하고도 잘싸우네요  
언차티드,배우와   아니면 망작이었을듯   
언차티드,상상력의 한계를 느꼈다면 영화를 만들지 말았어야지
언차티드,반가운 아저씨들도 나오고 인디아나 존스 세대로써 진부해도 개연성 없어도 이런 감성 오래간만에 좋구먼  편도 완전 기대되는    
언차티드,극장에서 안본게 정말 다행인듯 싶다 넷플에 뜨길레 봤는데 보면서 자고 다시 좀 보다 자고    차라리 언차티드  내용을 그대로 가저다 썼음 이렇게 까지 망작은 되지 않았을듯  시간짜리 영화에    까지 내용을 쑤셔 담으니 재미가 확  떨어질수 밖에 개연성이나 연출력은 안드로메다로 날려버렸고     혹시   나오더라도 걍     풀림 바라 돈주고 보지 말고
언차티드,액션 스토리 다 무난했던 어드벤처물  
언차티드, 
언차티드,수십년전 나온 인디아나존스보다 못하니   
언차티드,게임을 영화로 만든것 치고는 나쁘지 않네요  시간때우기 괜찮습니다 
언차티드,무난하게 볼만함  
언차티드,모험은 심플하고 액션은 과하고
언차티드,흠잡을 수 없을만큼 재미있었습니다 
언차티드,난 나름 재밌게 봤음   지루하지않고 이정도면 재미가 있는거지
언차티드,재밌습니다  좀 억지스런 부분도 있긴한데 뻔한 이야기를 이정도로 만든건 정말 훌륭해요 
언차티드,게임에 비해 너무 무난함
언차티드,잼있는데  왜 평점이 안좋지 
언차티드,좋게 말하면 내용 전개가 빠른거고  나쁘게 말하면 스토리는 설렁설렁 넘어가겠다는 영화  액션 위주인데  톰 홀랜드의 날렵한 액션은 참 괜찮았음  근데 악역으로 나온 여자는 폼만 잡고 액션은 형편없어서 왜 캐스팅했는지 모르겠음  크게 인상적이진 않지만 보고 즐기기엔 괜찮았음 
언차티드,수도 없이 우려 먹은 뻔한 스토리
언차티드,쥬만지를 한번더 볼걸그랫다 
언차티드,코로나로 억눌렸던 영화 갈증 아니었으면 망했을 싱거부리한  인디애나 존스 따라 갈려면    년은 멀었다  톰 홀랜드야 
언차티드,   
언차티드, 
언차티드,너무 재미없는 헐리우드 모험영화  인디아나 존스까지였다  이제 이런 식의 뻔한 영화는 만들어지지 말아야 함 
언차티드,화려한 영상에 킬링 타임용으론 충분해 보이나 스토리가 너무 부실해서 인디아나존스까지는 가지 말자  시즌제를 유지할 듯 싶으나 보라고 추천하기는 싶지 않을듯
언차티드,인디아나 존스  레이더스 반의 반도 못따라옴  차라리 내셔널 트레져를 한번 더 보시오  톰 홀랜드 작품 선정 미스   앞으로 마크 월버그 나오는건 걸러야 할지도   마케팅이 화려한건 뭐다    대충 망작  편을 예고 하던데 제발 그만해주소   이거 하나로 족하오 
언차티드,그냥 시간때우기용   인디아나존스와 내셔널트레저 믹스판 그것마저도 엉성한 믹스판 나중에    로 가격떨어지거나 무료일때 보시는걸 강추드림
언차티드,이저 저도 아닌 느낌   
언차티드,재료는 좋은데 맛은 식상한 짬뽕
언차티드,그나마 최근에 끝까지 보게 함 산만하고 찐스토리 부재는 알지만 참 덧글들 대단한 평론가들 납셨내  그래놓고 쓰레기  감성술집들  가서 별점 참 높게 주더라능 
언차티드, 편기대됨
언차티드,게임보다 못함
언차티드,만들 다 만 작품이라는 느낌을 받음   
언차티드,스필버그와 헤리슨포드가 얼마나 대단한지 확인시키려 만든 영화네 
언차티드,뻔히 아는 내용인데 이 정도면 충분히 괜찮음  헬리콥터까지 기어오르거나 하는 어려운 과정은 그냥 헬기에 도착한장면으로 넘겨버리는 패기     시리즈가 계속 되면 좀 더 다듬어 질 듯 
언차티드,아무리 영화지만   
언차티드,돈이 썩어 나서 만든 영화
언차티드,                    
언차티드,  
언차티드,쉽게쉽게 무난하게 흘러가 긴장감이 떨어짐 
언차티드,오랫만에 어드벤처  영화를 본 것 같음  전개는 제법 빠른 것 같으며  군더더기가 없다고 보면 될 듯  인과관계는 좀 무시한 것 같아 썩 잘 짜여진 시나리오 느낌은 아니지만  이것저것 따질 필요없이 그냥 킬링타임용으로는 나쁘지 않는 모험 영화이다 
언차티드,감독이 원작 게임은  해보고 만든건가  모든 배우가 미스캐스팅에  내용도 지루해
언차티드,인디아나존스 처럼 긴박하고  몰입감있진 않네    그래도 아류작으로 볼만하다    쿠키 영상 하면서  편 만들 정도로 괜찮진 않지만     
언차티드,기대이하  스토리도 너무 엉성하네요 
언차티드,자꾸 손에서 거미줄 나올거 같은 느낌       톰 홀랜드 혼자 수고 많았다    스토리가 너무 빈약   쿠키영상을 보니 다음편도 나올듯한데 기대는 잠시 접어두어야 할듯
언차티드,영화를 보고난후     구냥 겜이나 하는게 더 잼있겠다라고 생각함   
언차티드,초능력 잃은 스파이더맨의 인디아나 존스 체험기   예고편 장면이 가장 재밌었네    이거나  해적  도깨비 깃발 이나 또이또이긴한데  헐리웃이라 그런지 퍼포먼스는 좀 더 나았음 헬기 등장 부분 
언차티드,생략
언차티드, 
언차티드,킬링 타임용으로도 힘드네    어드밴쳐 영화 좋아하는데 이건 좀 힘들었어    연출이 너무 쓰레기네
언차티드,템포도  느리고  박진감도 없고 쟤들은 편집하면서 뭘 봤지 
언차티드, 
언차티드,게임 원작 영화가 망하는 선례들이 이렇게나 많은데 영화 제작자들은 그거 하나 배우려들지를 않는다  왜 영화화를 하나 되짚어보면  결국 대박난 게임이고 그만큼 관객수가 보장될 것 같으니 영화화를 하는 것인데  어째서 폭망하는 작품들을 보면 하나 같이 그 보장된 시청각 요소를 내다버리고 재해석이라는 명목하에 뭔 어설픈 코스프레와 게임 속 장면을 재연한 영상 한두개만 끼워 넣어 판다  팬들은 게임이 영화화 되면 그 게임처럼 보이길 원하고 당연히 대박난 게임이라면 그 내러티브에 보장된 재미가 신규 관객 또한 설득시켜 줄 것이다  어드벤쳐 영화에 스토리를 따지지 말라는데 어드벤처 장르는 당연히 매력적인 스토리와 흡입력  그리고 개연성이 있어야 되는거다  말 그대로 모험인데 솔깃 하지 않는 모험을 누가 떠나고 싶나 
언차티드,마크 월버그란 인종차별주의자에 인성 개쓸에기새끼 영화는 보지 말자  멍청이들아   
언차티드,기본은 하는 액션 어드벤처
